"Name","Municipal class","CD","CSD","CSDtype","UnitType","pr","cweight","Pop22","Cellid","value","source","year","road_condition"
"CITY OF ABBOTSFORD","Urban","5909","5909052","CY","CSD","59",1,"153524","C5F06102",0,"21","2022","VeryPoor"
"CITY OF ABBOTSFORD","Urban","5909","5909052","CY","CSD","59",1,"153524","C5F06502",0,"21","2022","VeryGood"
"RESORT MUNICIPALITY OF WHISTLER","Rural","5931","5931020","DM","CSD","59",1,"13982","C5F06102",0,"23","2022","VeryPoor"
"RESORT MUNICIPALITY OF WHISTLER","Rural","5931","5931020","DM","CSD","59",1,"13982","C5F06502",0,"99","2022","VeryGood"
"DISTRICT OF HOPE","Rural","5909","5909009","DM","CSD","59",1,"6686","C5F06102",10,"00","2022","VeryPoor"
"DISTRICT OF HOPE","Rural","5909","5909009","DM","CSD","59",1,"6686","C5F06502",0,"21","2022","VeryGood"
"CORPORATION OF THE DISTRICT OF WEST VANCOUVER","Urban","5915","5915055","DM","CSD","59",1.05882352941176,"44122","C5F06102",2,"00","2022","VeryPoor"
"CORPORATION OF THE DISTRICT OF WEST VANCOUVER","Urban","5915","5915055","DM","CSD","59",1.05882352941176,"44122","C5F06502",26,"00","2022","VeryGood"
"CITY OF VANCOUVER","Urban","5915","5915022","CY","CSD","59",1,"662248","C5F06102",16,"00","2022","VeryPoor"
"CITY OF VANCOUVER","Urban","5915","5915022","CY","CSD","59",1,"662248","C5F06502",22,"00","2022","VeryGood"
"CITY OF NORTH VANCOUVER","Urban","5915","5915051","CY","CSD","59",1.05882352941176,"58120","C5F06102",6,"00","2022","VeryPoor"
"CITY OF NORTH VANCOUVER","Urban","5915","5915051","CY","CSD","59",1.05882352941176,"58120","C5F06502",45,"00","2022","VeryGood"
